id,signal_ratio,distinct_1_ratio,distinct_2_ratio,distinct_3_ratio,distinct_4_ratio,top_k_mass_ratio,windowed_jaccard,longest_repeat_ratio,llm_judge_score
gsm8k-train-test-0-0,0.2781954887218045,0.3609022556390977,0.6590909090909091,0.8244274809160306,0.9384615384615385,0.29545454545454547,0.2,0.045112781954887216,0.08203125
gsm8k-train-test-1-0,0.3933333333333333,0.34,0.5973154362416108,0.777027027027027,0.8639455782312925,0.2751677852348993,0.1917808219178082,0.08,0.0810546875
gsm8k-train-test-2-0,0.2785714285714286,0.36428571428571427,0.6618705035971223,0.8405797101449275,0.948905109489051,0.2517985611510791,0.23170731707317074,0.03571428571428571,0.0419921875
gsm8k-train-test-3-0,0.2922077922077922,0.36363636363636365,0.673202614379085,0.875,0.9602649006622517,0.24836601307189543,0.1566265060240964,0.032467532467532464,0.09033203125
gsm8k-train-test-4-0,0.2698412698412698,0.40476190476190477,0.672,0.8387096774193549,0.9186991869918699,0.256,0.0,0.047619047619047616,0.06787109375
gsm8k-train-test-5-0,0.3631578947368421,0.2631578947368421,0.4973544973544973,0.6968085106382979,0.8342245989304813,0.35978835978835977,0.359375,0.05263157894736842,0.166015625
gsm8k-train-test-6-0,0.2661290322580645,0.3709677419354839,0.6016260162601627,0.7950819672131147,0.9008264462809917,0.3008130081300813,0.0,0.04838709677419355,0.08349609375
gsm8k-train-test-7-0,0.2268041237113402,0.5154639175257731,0.7604166666666666,0.8947368421052632,0.9574468085106383,0.2916666666666667,0.0,0.041237113402061855,0.027099609375
gsm8k-train-test-8-0,0.5092250922509225,0.24723247232472326,0.562962962962963,0.7955390334572491,0.917910447761194,0.23703703703703705,0.1448563212284765,0.025830258302583026,0.18359375
gsm8k-train-test-9-0,0.3767441860465116,0.2186046511627907,0.4392523364485981,0.6384976525821596,0.7830188679245284,0.27102803738317754,0.25932400932400934,0.046511627906976744,0.2001953125
